时间,总冷量
2025-07-27 12:00:00,7238.33
2025-07-20 18:00:00,7238.1
2025-07-06 14:00:00,7237.72
2025-08-03 16:00:00,7237.49
2025-08-21 20:00:00,7236.650000000001
2025-07-06 13:00:00,7236.15
2025-07-15 17:00:00,7235.9400000000005
2025-08-02 01:00:00,7235.05
2025-07-21 00:00:00,7234.400000000001
2025-07-06 15:00:00,7233.17
2025-07-19 00:00:00,7233.03
2025-07-26 22:00:00,7231.39
2025-07-27 10:00:00,7229.6
2025-08-26 17:00:00,7229.099999999999
2025-08-03 21:00:00,7227.78
2025-07-12 14:00:00,7224.89
2025-07-17 03:00:00,7224.37
2025-07-17 02:00:00,7224.17
2025-08-10 12:00:00,7222.4
2025-08-01 23:00:00,7218.69
2025-07-10 09:00:00,7215.4
2025-08-04 05:00:00,7215.36
2025-07-09 00:00:00,7215.02
2025-08-07 12:00:00,7214.25
2025-07-28 08:00:00,7214.14
2025-07-20 11:00:00,7212.55
2025-08-24 01:00:00,7211.21
2025-08-04 03:00:00,7211.08
2025-07-08 05:00:00,7209.71
2025-07-18 00:00:00,7207.43
2025-07-20 21:00:00,7203.84
2025-07-22 18:00:00,7203.76
2025-07-19 08:00:00,7203.21
2025-07-16 01:00:00,7201.44
2025-07-19 12:00:00,7198.7
2025-07-17 18:00:00,7198.42
2025-07-08 03:00:00,7198.360000000001
2025-07-03 01:00:00,7198.28
2025-08-07 16:00:00,7195.62
2025-07-27 14:00:00,7194.46
2025-08-01 13:00:00,7192.2699999999995
2025-07-15 23:00:00,7191.11
2025-07-24 20:00:00,7188.6
2025-07-01 18:00:00,7187.42
2025-07-05 16:00:00,7186.03
2025-07-04 16:00:00,7184.52
2025-07-07 09:00:00,7182.4
2025-07-26 23:00:00,7179.84
2025-07-18 20:00:00,7179.82
2025-07-29 20:00:00,7179.6900000000005
2025-07-05 11:00:00,7178.92
2025-07-11 19:00:00,7177.139999999999
2025-07-03 00:00:00,7176.5
2025-07-05 17:00:00,7175.05
2025-07-19 17:00:00,7174.66
2025-07-27 21:00:00,7174.56
2025-08-05 23:00:00,7173.11
2025-08-05 03:00:00,7172.76
2025-08-27 00:00:00,7172.53
2025-08-02 09:00:00,7172.42
2025-08-13 17:00:00,7172.29
2025-08-24 19:00:00,7170.03
2025-08-02 02:00:00,7169.61
2025-07-06 11:00:00,7168.39
2025-08-07 11:00:00,7166.97
2025-07-04 20:00:00,7164.07
2025-08-15 09:00:00,7162.83
2025-08-28 10:00:00,7161.63
2025-08-18 09:00:00,7161.58
2025-07-26 18:00:00,7161.080000000001
2025-07-24 19:00:00,7160.48
2025-07-14 09:00:00,7159.29
2025-08-17 18:00:00,7159.160000000001
2025-07-02 09:00:00,7157.33
2025-08-13 18:00:00,7155.849999999999
2025-07-05 23:00:00,7154.5199999999995
2025-07-17 05:00:00,7152.61
2025-07-10 19:00:00,7152.26
2025-08-24 18:00:00,7150.43
2025-07-06 12:00:00,7150.16
2025-08-11 22:00:00,7149.96
2025-07-17 22:00:00,7149.63
2025-08-16 18:00:00,7148.47
2025-07-24 18:00:00,7147.42
2025-07-11 16:00:00,7147.400000000001
2025-07-15 18:00:00,7147.32
2025-08-12 19:00:00,7146.04
2025-08-09 14:00:00,7145.8
2025-08-22 18:00:00,7145.16
2025-08-06 19:00:00,7144.21
2025-08-24 22:00:00,7143.98
2025-07-04 21:00:00,7140.75
2025-08-05 02:00:00,7139.12
2025-07-02 20:00:00,7138.48
2025-08-10 17:00:00,7138.23
2025-07-03 18:00:00,7137.05
2025-07-10 18:00:00,7136.66
2025-08-07 09:00:00,7136.41
2025-07-31 15:00:00,7136.35
2025-08-12 23:00:00,7136.0199999999995
2025-07-12 15:00:00,7134.12
2025-07-26 19:00:00,7131.13
2025-07-22 21:00:00,7130.67
2025-07-27 00:00:00,7130.48
2025-08-10 11:00:00,7128.92
2025-08-24 20:00:00,7128.17
2025-07-24 00:00:00,7127.61
2025-07-05 12:00:00,7127.43
2025-07-29 08:00:00,7127.16
2025-08-02 07:00:00,7125.860000000001
2025-07-01 23:00:00,7125.86
2025-07-18 02:00:00,7122.05
2025-07-09 01:00:00,7120.59
2025-07-08 01:00:00,7120.16
2025-07-23 08:00:00,7119.87
2025-08-18 22:00:00,7117.28
2025-08-11 00:00:00,7115.63
2025-07-03 20:00:00,7115.37
2025-08-05 00:00:00,7114.780000000001
2025-07-25 02:00:00,7112.8099999999995
2025-07-08 22:00:00,7112.68
2025-08-09 13:00:00,7111.07
2025-07-09 19:00:00,7111.07
2025-08-06 00:00:00,7109.59
2025-07-20 09:00:00,7109.12
2025-08-20 07:00:00,7105.59
2025-07-17 06:00:00,7104.27
2025-07-06 01:00:00,7103.33
2025-07-15 19:00:00,7103.15
2025-07-29 09:00:00,7102.83
2025-07-26 07:00:00,7101.58
2025-08-13 19:00:00,7101.05
2025-07-22 22:00:00,7098.82
2025-07-22 20:00:00,7097.72
2025-07-29 00:00:00,7096.469999999999
