time_sec,total_load,user1_load,user3_load,user4_load,user6_load
1519200,11926.4,7873.07,250.7,1918.54,1884.09
1522800,12288.09,8007.3,230.1,1876.96,2173.73
1526400,11346.33,7427.65,225.02,1837.49,1856.17
1530000,11568.029999999999,7487.69,216.12,1865.91,1998.31
1533600,10388.63,7206.22,0.0,1417.84,1764.57
1537200,7712.26,4880.54,0.0,1270.05,1561.67
1540800,7666.349999999999,5216.79,0.0,1156.74,1292.82
1544400,6849.65,4913.16,0.0,722.03,1214.46
1548000,6387.58,4710.16,0.0,682.13,995.29
1551600,6142.93,4486.59,0.0,607.84,1048.5
1555200,5852.52,4414.31,0.0,668.68,769.53
1558800,5316.99,4215.13,0.0,640.61,461.25
1562400,5428.49,4342.9,0.0,638.36,447.23
1566000,5176.89,4248.85,0.0,561.93,366.11
1569600,5165.5,4226.89,0.0,581.63,356.98
1573200,5233.589999999999,4261.65,0.0,610.73,361.21
1576800,5259.22,4279.39,0.0,594.69,385.14
1580400,5418.54,4206.38,0.0,722.74,489.42
1584000,7592.12,5768.06,0.0,1196.94,627.12
1587600,11464.89,7933.11,290.33,1672.55,1568.9
1591200,12334.449999999999,8304.66,250.99,1779.32,1999.48
1594800,11898.019999999999,7694.69,247.79,1808.4,2147.14
1598400,12749.95,8336.83,233.06,1761.69,2418.37
1602000,11477.03,7192.39,210.85,1714.47,2359.32
1605600,11010.55,7007.64,236.82,1666.05,2100.04
1609200,13118.96,9103.76,221.88,1586.34,2206.98
1612800,12624.05,8575.8,221.36,1578.21,2248.68
1616400,11087.0,7005.18,227.12,1564.28,2290.42
1620000,9745.81,6151.84,166.12,1340.66,2087.19
1623600,8596.57,5807.31,132.84,1087.34,1569.08
1627200,7404.1900000000005,4933.89,134.17,1044.43,1291.7
1630800,6438.200000000001,4465.5,0.0,787.97,1184.73
1634400,5995.5,4176.92,0.0,703.96,1114.62
1638000,5636.76,4038.65,0.0,660.65,937.46
1641600,5333.99,3981.44,0.0,597.64,754.91
1645200,5166.67,3967.91,0.0,668.74,530.02
1648800,5054.22,3940.29,0.0,665.96,447.97
1652400,5076.19,4011.53,0.0,655.04,409.62
1656000,5000.11,3972.2,0.0,657.86,370.05
1659600,5015.45,3962.48,0.0,695.09,357.88
1663200,4919.77,3895.22,0.0,695.33,329.22
1666800,5486.44,4278.82,0.0,740.16,467.46
1670400,7783.670000000001,5603.38,87.02,1377.63,715.64
1674000,11645.559999999998,8200.21,255.8,1711.89,1477.66
1677600,12189.160000000002,8471.0,0.0,1778.38,1939.78
1681200,12487.050000000001,8277.34,232.0,1880.45,2097.26
1684800,12587.4,8063.7,243.73,1940.65,2339.32
1688400,12352.09,7910.45,239.81,1879.61,2322.22
1692000,12543.83,8164.43,229.66,1815.39,2334.35
1695600,12377.2,8065.21,225.86,1776.34,2309.79
1699200,12560.99,8168.89,206.38,1950.07,2235.65
1702800,11514.15,7632.04,213.03,1829.98,1839.1
1706400,9246.42,6049.36,0.0,1439.9,1757.16
1710000,7099.17,4605.66,0.0,1029.2,1464.31
1713600,7123.77,4896.46,0.0,922.93,1304.38
1717200,6544.860000000001,4425.52,0.0,896.08,1223.26
1720800,6099.31,4247.77,0.0,798.38,1053.16
1724400,5900.799999999999,4253.43,0.0,750.06,897.31
1728000,5086.2,3715.37,0.0,646.92,723.91
1731600,4454.71,3447.15,0.0,586.83,420.73
1735200,4398.58,3336.2,0.0,667.7,394.68
1738800,4956.17,3995.8,0.0,634.58,325.79
1742400,4287.39,3396.34,0.0,557.31,333.74
1746000,4456.94,3480.11,0.0,642.42,334.41
1749600,4891.65,3493.31,0.0,1056.93,341.41
1753200,5040.25,3675.04,0.0,873.33,491.88
1756800,7505.08,5286.32,0.0,1529.44,689.32
1760400,11017.460000000001,7764.3,0.0,1950.63,1302.53
1764000,11698.15,7712.0,0.0,2152.17,1833.98
1767600,12255.41,8117.72,0.0,2195.7,1941.99
1771200,12213.17,8032.52,0.0,2156.56,2024.09
1774800,12496.2,8103.36,0.0,2283.48,2109.36
1778400,12367.15,7947.36,0.0,2321.2,2098.59
1782000,12219.37,8015.31,0.0,2172.56,2031.5
1785600,11973.119999999999,7915.46,62.87,1892.48,2102.31
1789200,11600.3,7482.32,0.0,2044.71,2073.27
1792800,8853.11,5583.27,0.0,1396.11,1873.73
1796400,8429.63,5815.33,0.0,1088.82,1525.48
1800000,6928.33,4770.04,0.0,899.25,1259.04
1803600,6251.41,4373.08,0.0,746.42,1131.91
1807200,5050.290000000001,3454.71,0.0,644.48,951.1
1810800,4757.71,3339.48,0.0,625.95,792.28
1814400,4864.59,3428.87,0.0,693.7,742.02
1818000,4333.13,3218.32,0.0,649.97,464.84
1821600,4393.2,3302.85,0.0,658.57,431.78
