hour,day,user1_flow_kg_s,user1_T_sup_C,user1_T_ret_C,user1_delta_T_C,user1_Q_sup_kw,user1_demand_kw,user1_Q_unmet_kw,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
245,10.208333333333334,93.03619983868688,7.125932869684798,15.162283881578652,8.036351011893855,3129.7531447868096,3144.16,14.406855213190283,22.812983071897968,7.114940993578604,7.139304250509508,0.024363256930904242,2.326572805401107,0.0,0.0,50.26685775710346,7.096070090942322,10.974506194881533,3.878436103939211,816.0891478748584,535.52,0.0,65.61627438310111,7.109147493436235,8.501041841435066,1.3918943479988313,382.31123719212343,339.27,0.0,4330.480102659193,4018.95,0.0
246,10.25,93.02663856345748,7.048500340116027,15.473299114170699,8.424798774054672,3280.6967542528096,3101.43,0.0,22.811673977672704,7.01219117168059,7.036721062729167,0.024529891048576502,2.342351134411117,0.0,0.0,50.26499339982974,6.989700440314421,11.759451441467558,4.7697510011531365,1003.5997898492485,1093.02,89.42021015075147,65.61366662419643,7.005761579244817,8.738101380903869,1.7323398016590517,475.8023858215486,414.35,0.0,4762.441281058018,4608.8,0.0
247,10.291666666666666,97.47096550452477,6.916400682626631,16.951452514531447,10.035051831904816,4094.43623529038,3500.08,0.0,23.433046143073646,6.843444495681175,7.249016303793899,0.40557180811272353,39.7828351935944,0.0,0.0,51.67405829608217,6.770984530431521,12.313564498526487,5.542579968094966,1198.9022151992049,907.22,0.0,67.45400896191796,6.8252877938852015,9.184395217526198,2.359107423640997,666.1234262987597,527.09,0.0,5999.244711981939,4934.39,0.0
248,10.333333333333334,148.96933740255525,6.78390970666706,17.090275507035194,10.306365800368134,6426.901779318298,4807.56,0.0,30.099067740503603,6.873980662864684,7.406900060993226,0.5329193981285423,67.1450183919945,75.94,8.7949816080055,66.90210911726564,7.005321060067376,13.161243826982263,6.155922766914887,1723.9798909789438,1490.86,0.0,87.34025938233962,6.8712940320706615,9.936578165024804,3.065284132954142,1120.687269304157,797.56,0.0,9338.713957993394,7171.92,0.0
249,10.375,200.78140710454713,8.869021644527244,18.464434948583705,9.59541330405646,8064.666328551087,7888.16,0.0,36.29170715753465,9.293127014768906,9.851943453400771,0.5588164386318653,84.89376505606616,45.36,0.0,81.1329657875416,9.412298324346493,15.213112014906796,5.800813690560304,1970.0873974620088,1923.51,0.0,105.92726405969336,9.136833812089305,12.79226206637777,3.6554282542884646,1620.8590253665623,1433.13,0.0,11740.506516435724,11290.16,0.0
250,10.416666666666666,215.82784305836896,11.760515626949783,20.834232170372253,9.07371654342247,8197.697764996366,8297.28,99.5822350036342,37.93678401899312,12.188287015381883,13.766307989293095,1.5780209739112117,250.59506105967947,109.79,0.0,84.91494158459692,12.281587572289878,18.08620158952529,5.804614017235414,2063.2729543749206,1973.31,0.0,110.87040552936517,11.979390526010318,16.06048642097413,4.081095894963811,1894.0509602949298,1756.8,0.0,12405.616740725896,12137.18,0.0
251,10.458333333333334,216.47382798210225,14.867809205519084,23.58535136351583,8.717542157996746,7899.483154353514,8137.02,237.53684564648665,37.946392513224566,15.285526222804357,17.686534735907312,2.401008513102955,381.38483359583216,376.01,0.0,84.91477277523036,15.35640769507892,21.076868869430164,5.720461174351245,2033.356452065112,2103.55,70.1935479348881,110.87325759560869,15.061387005411929,19.566397539881578,4.505010534469649,2090.8450198201454,1966.67,0.0,12405.069459834605,12583.250000000002,178.18054016539645
252,10.5,211.37828272204516,17.730620691474066,26.5755489357029,8.844928244228836,7826.253360469274,7724.6,0.0,37.30971553627989,18.127340320044578,19.817074944567473,1.6897346245228952,263.90016707113955,368.45,104.54983292886044,83.42149411272099,18.203607775610656,23.682670403138932,5.479062627528275,1913.3016787772763,1912.29,0.0,108.92512061228892,17.922538510035416,22.65000949521979,4.727470985184375,2155.540293598146,2148.58,0.0,12158.995499915836,12153.92,0.0
253,10.541666666666666,217.15282209502092,20.58533606997168,29.513377210810233,8.928041140838552,8115.6046933436855,7997.7,0.0,37.89016679476837,21.00033750381862,22.30305201654975,1.3027145127311286,206.62125374563416,140.92,0.0,84.74493087820558,21.083920007693127,26.50238182373408,5.418461816040953,1922.1575022707323,1863.28,0.0,110.65640018105309,20.78588727631646,25.463562197067027,4.677674920750569,2166.735000028029,2096.97,0.0,12411.118449388083,12098.869999999999,0.0
254,10.583333333333334,229.11068178749576,23.8040005571771,32.576864283324745,8.772863726147644,8413.679120957833,8272.9,0.0,39.15267218783336,24.2474305767318,25.85718205836598,1.6097514816341771,263.82713766116814,255.33,0.0,87.64871758991053,24.318101715601912,29.673543726210276,5.355442010608364,1964.8984555582142,1926.32,0.0,114.45122675706956,23.995486623368826,28.742445603166132,4.746958979797306,2274.234036233368,2165.67,0.0,12916.638750410584,12620.22,0.0
